id;name;full_name;birth_date;height_cm;weight_kgs;positions;nationality;overall_rating;potential;preferred_foot;international_reputation;weak_foot;skill_moves;body_type;difficulty
1;L. Messi;Lionel Andrés Messi Cuccittini;6/24/1987;170.18;72.1;CF,RW,ST;Argentina;94;94;Left;5;4;4;Messi;Easy
2;C. Eriksen;Christian  Dannemann Eriksen;2/14/1992;154.94;76.2;CAM,RM,CM;Denmark;88;89;Right;3;5;4;Lean;Medium
3;P. Pogba;Paul Pogba;3/15/1993;190.5;83.9;CM,CAM;France;88;91;Right;4;4;5;Normal;Easy
4;L. Insigne;Lorenzo Insigne;6/4/1991;162.56;59.0;LW,ST;Italy;88;88;Right;3;4;4;Normal;Medium
5;K. Koulibaly;Kalidou Koulibaly;6/20/1991;187.96;88.9;CB;Senegal;88;91;Right;3;3;2;Normal;Medium
6;V. van Dijk;Virgil van Dijk;7/8/1991;193.04;92.1;CB;Netherlands;88;90;Right;3;3;2;Normal;Medium
7;K. Mbappé;Kylian Mbappé;12/20/1998;152.4;73.0;RW,ST,RM;France;88;95;Right;3;4;5;Lean;Medium
8;S. Agüero;Sergio Leonel Agüero del Castillo;6/2/1988;172.72;69.9;ST;Argentina;89;89;Right;4;4;4;Stocky;Easy
9;M. Neuer;Manuel Neuer;3/27/1986;193.04;92.1;GK;Germany;89;89;Right;5;4;1;Normal;Easy
10;E. Cavani;Edinson Roberto Cavani Gómez;2/14/1987;185.42;77.1;ST;Uruguay;89;89;Right;4;4;3;Lean;Easy
11;Sergio Busquets;Sergio Busquets i Burgos;7/16/1988;187.96;76.2;CDM,CM;Spain;89;89;Right;4;3;3;Lean;Easy
12;T. Courtois;Thibaut Courtois;5/11/1992;198.12;96.2;GK;Belgium;89;90;Left;4;2;1;Courtois;Easy
13;M. ter Stegen;Marc-André ter Stegen;4/30/1992;187.96;84.8;GK;Germany;89;92;Right;3;4;1;Normal;Medium
14;A. Griezmann;Antoine Griezmann;3/21/1991;175.26;73.0;CF,ST;France;89;90;Left;4;3;4;Lean;Easy
15;M. Salah;Mohamed  Salah Ghaly;6/15/1992;175.26;71.2;RW,ST;Egypt;89;90;Left;3;3;4;PLAYER_BODY_TYPE_25;Medium
16;P. Dybala;Paulo Bruno Exequiel Dybala;11/15/1993;152.4;74.8;CAM,RW;Argentina;89;94;Left;3;3;4;Normal;Medium
17;M. Škriniar;Milan Škriniar;2/11/1995;187.96;79.8;CB;Slovakia;86;93;Right;1;4;2;Normal;Very Hard
18;Fernandinho;Fernando Luiz Rosa;5/4/1985;152.4;67.1;CDM;Brazil;87;87;Right;3;4;3;Lean;Medium
19;G. Higuaín;Gonzalo Gerardo Higuaín;12/10/1987;185.42;88.9;ST;Argentina;87;87;Right;4;4;3;Normal;Easy
20;I. Rakitić;Ivan Rakitić;3/10/1988;182.88;78.0;CM,CDM;Croatia;87;87;Right;4;4;3;Lean;Easy
21;J. Vertonghen;Jan Vertonghen;4/24/1987;187.96;86.2;CB;Belgium;87;87;Left;3;3;3;Normal;Medium
22;D. Mertens;Dries Mertens;5/6/1987;170.18;60.8;CF,ST;Belgium;87;87;Right;3;4;4;Normal;Medium
23;Marcelo;Marcelo Vieira da Silva Júnior;5/12/1988;175.26;79.8;LB;Brazil;87;87;Left;4;4;5;Normal;Easy
24;T. Alderweireld;Toby Alderweireld;3/2/1989;185.42;81.2;CB;Belgium;87;88;Right;3;3;2;Normal;Medium
25;Jordi Alba;Jordi Alba Ramos;3/21/1989;170.18;68.0;LB;Spain;87;87;Left;3;3;3;Normal;Medium
26;Thiago;Thiago Alcântara do Nascimento;4/11/1991;175.26;69.9;CM,CAM,CDM;Spain;87;87;Right;3;3;5;Normal;Medium
27;C. Immobile;Ciro Immobile;2/20/1990;185.42;84.8;ST;Italy;87;87;Right;3;4;3;Normal;Medium
28;K. Navas;Keylor Navas;12/15/1986;185.42;79.8;GK;Costa Rica;87;87;Right;3;3;1;Normal;Medium
29;Isco;Francisco Román Alarcón Suárez;4/21/1992;175.26;78.9;CAM,CM,LW;Spain;87;90;Right;3;3;4;Normal;Medium
30;J. Rodríguez;James David Rodríguez Rubio;7/12/1991;154.94;74.8;CAM,CM,RM;Colombia;87;88;Left;4;3;4;Normal;Easy
31;Casemiro;Carlos Henrique Venancio Casimiro;2/23/1992;185.42;83.9;CDM;Brazil;87;89;Right;3;3;2;Normal;Medium
32;M. Icardi;Mauro Emanuel Icardi Rivero;2/19/1993;154.94;74.8;ST;Argentina;87;90;Right;3;4;3;Normal;Medium
33;Kepa;Kepa Arrizabalaga;10/3/1994;185.42;84.8;GK;Spain;84;90;Right;1;4;1;Lean;Very Hard
34;H. Ziyech;Hakim Ziyech;3/19/1993;154.94;64.9;CAM,RW;Morocco;84;86;Left;3;2;4;Lean;Medium
35;Fabinho;Fábio Henrique Tavares;10/23/1993;187.96;78.0;CDM;Brazil;84;88;Right;3;2;3;Lean;Medium
36;A. Martial;Anthony Martial;12/5/1995;182.88;76.2;LW,ST,LM;France;84;90;Right;3;3;4;Normal;Medium
37;T. Werner;Timo Werner;3/6/1996;154.94;74.8;ST;Germany;84;87;Right;3;4;3;Normal;Medium
38;N. Süle;Niklas Süle;9/3/1995;195.58;97.1;CB;Germany;84;90;Right;2;3;2;Stocky;Hard
39;Bruno Fernandes;Bruno Miguel Borges Fernandes;9/8/1994;152.4;68.9;CAM,CM;Portugal;84;88;Right;2;3;4;Lean;Hard
40;Alex Telles;Alex Nicolao Telles;12/15/1992;154.94;71.2;LB;Brazil;84;86;Left;3;2;3;Lean;Medium
41;J. Giménez;José María Giménez de Vargas;1/20/1995;185.42;79.8;CB;Uruguay;84;88;Right;2;3;2;Normal;Hard
42;N. Fekir;Nabil Fekir;7/18/1993;172.72;74.8;CAM;France;84;88;Left;3;3;4;Stocky;Medium
43;D. Sánchez;Davinson Sánchez;6/12/1996;187.96;78.9;CB;Colombia;84;88;Right;2;3;2;Lean;Hard
44;Marco Asensio;Marco Asensio Willemsen;1/21/1996;182.88;76.2;LW,RW;Spain;84;89;Left;3;3;4;Normal;Medium
45;O. Dembélé;Ousmane Dembélé;5/15/1997;152.4;67.1;RW,LW;France;84;92;Left;3;5;4;Lean;Medium
46;Iniesta;Andrés Iniesta Luján;5/11/1984;170.18;68.0;CM,LM;Spain;85;85;Right;4;4;4;Normal;Easy
47;Z. Ibrahimović;Zlatan Ibrahimović;10/3/1981;195.58;94.8;ST;Sweden;85;85;Right;5;4;5;Normal;Easy
48;Jorginho;Luiz Frello Filho Jorge;12/20/1991;154.94;67.1;CM;Italy;83;84;Right;2;3;3;Lean;Hard
49;E. Višća;Edin Višća;2/17/1990;172.72;63.0;RM,RW;Bosnia Herzegovina;83;83;Right;2;4;4;Lean;Hard
50;S. Gnabry;Serge Gnabry;7/14/1995;175.26;74.8;LM,RM,CAM,LW;Germany;83;87;Right;2;4;4;Normal;Hard
51;M. Kovačić;Mateo Kovačić;5/6/1994;175.26;78.0;CM;Croatia;83;89;Right;3;4;4;Normal;Medium
52;William Carvalho;William Silva de Carvalho;4/7/1992;187.96;83.0;CDM,CM;Portugal;83;86;Right;3;4;3;Normal;Medium
53;Felipe;Felipe Augusto de Almeida Monteiro;5/16/1989;190.5;86.2;CB;Brazil;83;84;Right;3;3;2;Normal;Medium
54;Y. Carrasco;Yannick Ferreira Carrasco;9/4/1993;154.94;73.0;LM;Belgium;83;86;Right;3;4;4;Lean;Medium
55;Lucas Vázquez;Lucas Vázquez Iglesias;7/1/1991;172.72;69.9;RW,RM;Spain;83;83;Right;2;4;4;Normal;Hard
56;Q. Promes;Quincy Anton Promes;1/4/1992;175.26;72.1;LM,ST,RM;Netherlands;83;83;Right;2;4;5;Lean;Hard
57;L. Goretzka;Leon Goretzka;2/6/1995;187.96;78.9;CM,CAM,CDM;Germany;83;88;Right;3;4;3;Lean;Medium
58;A. Rabiot;Adrien Rabiot;4/3/1995;193.04;79.8;CM,CDM;France;83;87;Left;2;3;3;Lean;Hard
59;A. Romagnoli;Alessio Romagnoli;1/12/1995;187.96;78.0;CB;Italy;83;90;Left;2;3;2;Normal;Hard
60;João Cancelo;João Pedro Cavaco Cancelo;5/27/1994;182.88;73.9;RB;Portugal;83;89;Right;2;3;4;Lean;Hard
61;Anderson Talisca;Anderson Souza Conceição;2/1/1994;190.5;79.8;CAM;Brazil;83;87;Left;2;4;4;Normal;Hard
62;K. Coman;Kingsley Coman;6/13/1996;152.4;71.2;LM,RM,LW,RW;France;83;88;Right;2;3;5;Lean;Hard
63;T. Lemar;Thomas Lemar;11/12/1995;170.18;62.1;LM,CAM,RM;France;83;89;Left;3;2;4;Lean;Medium
64;J. Tah;Jonathan Tah;2/11/1996;195.58;97.1;CB;Germany;82;87;Right;2;4;2;Stocky;Hard
65;M. Politano;Matteo Politano;8/3/1993;170.18;67.1;RM,LM,ST;Italy;82;85;Left;2;4;4;Normal;Hard
66;C. Lenglet;Clément Lenglet;6/17/1995;185.42;81.2;CB;France;82;88;Left;1;4;2;Lean;Very Hard
67;Pau López;Pau López Sabata;12/13/1994;187.96;77.1;GK;Spain;82;87;Left;1;3;1;Lean;Very Hard
68;H. Lozano;Hirving Rodrigo Lozano Bahena;7/30/1995;175.26;69.9;RW,LW;Mexico;82;87;Right;3;4;4;Lean;Medium
69;Malcom;Malcom Filipe Silva de Oliveira;2/26/1997;172.72;73.9;RW;Brazil;82;89;Left;2;4;4;Normal;Hard
70;L. Torreira;Lucas Torreira Di Pascua;2/11/1996;167.64;64.0;CDM,CM;Uruguay;82;87;Right;2;3;3;Normal;Hard
71;Gonçalo Guedes;Gonçalo Manuel Ganchinho Guedes;11/29/1996;152.4;68.0;LM,ST,RM,LW;Portugal;82;86;Right;1;4;4;Normal;Very Hard
72;G. Lo Celso;Giovani Lo Celso;4/9/1996;175.26;69.9;CM,CAM,CDM;Argentina;82;88;Left;1;3;4;Lean;Very Hard
73;Fabián;Fabián Ruiz Peña;4/3/1996;187.96;69.9;CM,CDM,CAM;Spain;82;90;Left;1;4;4;Lean;Very Hard
74;F. de Jong;Frenkie de Jong;5/12/1997;154.94;69.9;CM,CDM,CB;Netherlands;82;89;Right;1;3;4;Lean;Very Hard
75;Raphaelito Anjos;Raphael William Anjos Rochedo;2/29/1988;190.5;84.8;GK;Brazil;82;82;Right;1;2;1;Normal;Very Hard
76;Juiano Mestres;Juan Everton Mestres de Mesquita;2/29/1984;154.94;82.1;CB,CDM;Brazil;82;82;Right;1;3;2;Normal;Very Hard
77;Rosberto Dourado;Rosberto J. Dourado Santos;2/29/1988;175.26;69.9;CDM,CM;Brazil;82;82;Right;1;4;2;Lean;Very Hard
78;Arthur;Arthur Henrique Ramos Oliveira Melo;8/12/1996;170.18;73.0;CM;Brazil;82;90;Right;1;3;4;Normal;Very Hard
79;Rodri;Rodrigo Hernández Cascante;6/22/1996;190.5;82.1;CM,CDM;Spain;82;87;Right;1;3;4;Lean;Very Hard
